"","bwnetModuleLabels","bwnetModuleColors"
"TraesCS2A01G349300","3","brown"
"TraesCS2A01G349400","1","turquoise"
"TraesCS2A01G349500","0","grey"
"TraesCS2A01G349600","0","grey"
"TraesCS2A01G349700","1","turquoise"
"TraesCS2A01G349800","1","turquoise"
"TraesCS2A01G349900","0","grey"
"TraesCS2A01G350100","7","black"
"TraesCS2A01G350200","0","grey"
"TraesCS2A01G350300","28","skyblue"
"TraesCS2A01G350400","0","grey"
"TraesCS2A01G350500","0","grey"
"TraesCS2A01G350600","0","grey"
"TraesCS2A01G350700","3","brown"
"TraesCS2A01G350800","10","purple"
"TraesCS2A01G350900","10","purple"
"TraesCS2A01G351000","6","red"
"TraesCS2A01G351100","0","grey"
"TraesCS2A01G351200","0","grey"
"TraesCS2A01G351300","1","turquoise"
"TraesCS2A01G351400","0","grey"
"TraesCS2A01G351500","0","grey"
"TraesCS2A01G351600","0","grey"
"TraesCS2A01G351700","0","grey"
"TraesCS2A01G351800","0","grey"
"TraesCS2A01G351900","0","grey"
"TraesCS2A01G352000","7","black"
"TraesCS2A01G352100","4","yellow"
"TraesCS2A01G352200","0","grey"
"TraesCS2A01G352300","0","grey"
"TraesCS2A01G352400","24","darkgrey"
"TraesCS2A01G352500","13","salmon"
"TraesCS2A01G352600","14","cyan"
"TraesCS2A01G352700","1","turquoise"
"TraesCS2A01G352800","3","brown"
"TraesCS2A01G352900","1","turquoise"
"TraesCS2A01G353000","0","grey"
"TraesCS2A01G353100","23","darkturquoise"
"TraesCS2A01G353200","4","yellow"
"TraesCS2A01G353300","0","grey"
"TraesCS2A01G353400","2","blue"
"TraesCS2A01G353500","3","brown"
"TraesCS2A01G353600","2","blue"
"TraesCS2A01G353700","0","grey"
"TraesCS2A01G353800","13","salmon"
"TraesCS2A01G353900","1","turquoise"
"TraesCS2A01G354000","4","yellow"
"TraesCS2A01G354100","1","turquoise"
"TraesCS2A01G354200","6","red"
"TraesCS2A01G354300","0","grey"
"TraesCS2A01G354400","0","grey"
"TraesCS2A01G354500","3","brown"
"TraesCS2A01G354600","0","grey"
"TraesCS2A01G354700","0","grey"
"TraesCS2A01G354800","0","grey"
"TraesCS2A01G354900","6","red"
"TraesCS2A01G355000","4","yellow"
"TraesCS2A01G355100","31","paleturquoise"
"TraesCS2A01G355200","6","red"
"TraesCS2A01G355300","4","yellow"
"TraesCS2A01G355400","3","brown"
"TraesCS2A01G355500","0","grey"
"TraesCS2A01G355600","1","turquoise"
"TraesCS2A01G355700","0","grey"
"TraesCS2A01G355800","23","darkturquoise"
"TraesCS2A01G355900","11","greenyellow"
"TraesCS2A01G356000","6","red"
"TraesCS2A01G356200","3","brown"
"TraesCS2A01G356300","0","grey"
"TraesCS2A01G356400","2","blue"
"TraesCS2A01G356500","2","blue"
"TraesCS2A01G356600","0","grey"
"TraesCS2A01G356700","0","grey"
"TraesCS2A01G356900","30","steelblue"
"TraesCS2A01G357000","0","grey"
"TraesCS2A01G357100","2","blue"
"TraesCS2A01G357200","14","cyan"
"TraesCS2A01G357400","1","turquoise"
"TraesCS2A01G357500","0","grey"
"TraesCS2A01G357600","1","turquoise"
"TraesCS2A01G357700","1","turquoise"
"TraesCS2A01G357800","3","brown"
"TraesCS2A01G357900","0","grey"
"TraesCS2A01G358000","2","blue"
"TraesCS2A01G358100","1","turquoise"
"TraesCS2A01G358200","2","blue"
"TraesCS2A01G358400","3","brown"
"TraesCS2A01G358500","0","grey"
"TraesCS2A01G358600","0","grey"
"TraesCS2A01G358700","0","grey"
"TraesCS2A01G358900","0","grey"
"TraesCS2A01G359000","4","yellow"
"TraesCS2A01G359100","22","darkgreen"
"TraesCS2A01G359300","7","black"
"TraesCS2A01G359400","1","turquoise"
"TraesCS2A01G359500","0","grey"
"TraesCS2A01G359600","1","turquoise"
"TraesCS2A01G359700","0","grey"
"TraesCS2A01G359800","0","grey"
"TraesCS2A01G359900","0","grey"
"TraesCS2A01G360000","2","blue"
"TraesCS2A01G360100","0","grey"
"TraesCS2A01G360200","0","grey"
"TraesCS2A01G360300","11","greenyellow"
"TraesCS2A01G360500","2","blue"
"TraesCS2A01G360600","0","grey"
"TraesCS2A01G360700","0","grey"
"TraesCS2A01G360800","0","grey"
"TraesCS2A01G361100","0","grey"
"TraesCS2A01G361200","0","grey"
"TraesCS2A01G361300","0","grey"
"TraesCS2A01G361600","0","grey"
"TraesCS2A01G361700","0","grey"
"TraesCS2A01G361900","4","yellow"
"TraesCS2A01G362000","0","grey"
"TraesCS2A01G362100","7","black"
"TraesCS2A01G362200","1","turquoise"
"TraesCS2A01G362300","0","grey"
"TraesCS2A01G362400","0","grey"
"TraesCS2A01G362500","0","grey"
"TraesCS2A01G362600","4","yellow"
"TraesCS2A01G362700","2","blue"
"TraesCS2A01G362800","5","green"
"TraesCS2A01G362900","0","grey"
"TraesCS2A01G363000","8","pink"
"TraesCS2A01G363200","0","grey"
"TraesCS2A01G363300","0","grey"
"TraesCS2A01G363400","14","cyan"
"TraesCS2A01G363500","0","grey"
"TraesCS2A01G363600","0","grey"
"TraesCS2A01G363700","0","grey"
"TraesCS2A01G363800","11","greenyellow"
"TraesCS2A01G363900","0","grey"
"TraesCS2A01G364000","2","blue"
"TraesCS2A01G364100","0","grey"
"TraesCS2A01G364200","4","yellow"
"TraesCS2A01G364300","4","yellow"
"TraesCS2A01G364400","23","darkturquoise"
"TraesCS2A01G364500","5","green"
"TraesCS2A01G364600","25","orange"
"TraesCS2A01G364700","0","grey"
"TraesCS2A01G364800","0","grey"
"TraesCS2A01G364900","0","grey"
"TraesCS2A01G365000","1","turquoise"
"TraesCS2A01G365200","4","yellow"
"TraesCS2A01G365300","2","blue"
"TraesCS2A01G365400","5","green"
"TraesCS2A01G365500","1","turquoise"
"TraesCS2A01G365600","1","turquoise"
"TraesCS2A01G365700","0","grey"
"TraesCS2A01G365800","0","grey"
"TraesCS2A01G365900","0","grey"
"TraesCS2A01G366000","0","grey"
"TraesCS2A01G366100","1","turquoise"
"TraesCS2A01G366200","13","salmon"
"TraesCS2A01G366400","5","green"
"TraesCS2A01G366600","0","grey"
"TraesCS2A01G366700","13","salmon"
"TraesCS2A01G366900","2","blue"
"TraesCS2A01G367000","1","turquoise"
"TraesCS2A01G367100","6","red"
"TraesCS2A01G367200","0","grey"
"TraesCS2A01G367300","0","grey"
"TraesCS2A01G367400","21","darkred"
"TraesCS2A01G367500","21","darkred"
"TraesCS2A01G367600","10","purple"
"TraesCS2A01G367700","0","grey"
"TraesCS2A01G367800","9","magenta"
"TraesCS2A01G368000","1","turquoise"
"TraesCS2A01G368200","0","grey"
"TraesCS2A01G368300","1","turquoise"
"TraesCS2A01G368400","1","turquoise"
"TraesCS2A01G368500","7","black"
"TraesCS2A01G368600","1","turquoise"
"TraesCS2A01G368700","3","brown"
"TraesCS2A01G368800","1","turquoise"
"TraesCS2A01G368900","0","grey"
"TraesCS2A01G369000","11","greenyellow"
"TraesCS2A01G369200","0","grey"
"TraesCS2A01G369400","0","grey"
"TraesCS2A01G369500","5","green"
"TraesCS2A01G369600","0","grey"
"TraesCS2A01G369700","1","turquoise"
"TraesCS2A01G369800","1","turquoise"
"TraesCS2A01G369900","0","grey"
"TraesCS2A01G370000","2","blue"
"TraesCS2A01G370200","1","turquoise"
"TraesCS2A01G370300","4","yellow"
"TraesCS2A01G370400","4","yellow"
"TraesCS2A01G370500","16","lightcyan"
"TraesCS2A01G370700","2","blue"
"TraesCS2A01G370800","0","grey"
"TraesCS2A01G371000","0","grey"
"TraesCS2A01G371100","1","turquoise"
"TraesCS2A01G371200","11","greenyellow"
"TraesCS2A01G371300","0","grey"
"TraesCS2A01G371400","0","grey"
"TraesCS2A01G371500","0","grey"
"TraesCS2A01G371600","12","tan"
"TraesCS2A01G371700","12","tan"
"TraesCS2A01G371800","1","turquoise"
"TraesCS2A01G371900","3","brown"
"TraesCS2A01G372000","3","brown"
"TraesCS2A01G372100","14","cyan"
"TraesCS2A01G372200","13","salmon"
"TraesCS2A01G372300","1","turquoise"
"TraesCS2A01G372400","28","skyblue"
"TraesCS2A01G372500","1","turquoise"
"TraesCS2A01G372600","1","turquoise"
"TraesCS2A01G372700","4","yellow"
"TraesCS2A01G372800","0","grey"
"TraesCS2A01G372900","2","blue"
"TraesCS2A01G373000","2","blue"
"TraesCS2A01G373100","4","yellow"
"TraesCS2A01G373200","3","brown"
"TraesCS2A01G373300","0","grey"
"TraesCS2A01G373400","8","pink"
"TraesCS2A01G373500","9","magenta"
"TraesCS2A01G373600","4","yellow"
"TraesCS2A01G373700","0","grey"
"TraesCS2A01G373800","0","grey"
"TraesCS2A01G373900","2","blue"
"TraesCS2A01G374000","2","blue"
"TraesCS2A01G374100","9","magenta"
"TraesCS2A01G374200","0","grey"
"TraesCS2A01G374300","1","turquoise"
"TraesCS2A01G374400","0","grey"
"TraesCS2A01G374500","20","royalblue"
"TraesCS2A01G374600","20","royalblue"
"TraesCS2A01G374700","3","brown"
"TraesCS2A01G374800","1","turquoise"
"TraesCS2A01G375000","0","grey"
"TraesCS2A01G375100","18","lightgreen"
"TraesCS2A01G375200","18","lightgreen"
"TraesCS2A01G375300","7","black"
"TraesCS2A01G375400","0","grey"
"TraesCS2A01G375500","0","grey"
"TraesCS2A01G375600","4","yellow"
"TraesCS2A01G375800","1","turquoise"
"TraesCS2A01G375900","13","salmon"
"TraesCS2A01G376000","2","blue"
"TraesCS2A01G376200","1","turquoise"
"TraesCS2A01G376300","2","blue"
"TraesCS2A01G376400","0","grey"
"TraesCS2A01G376500","0","grey"
"TraesCS2A01G376600","5","green"
"TraesCS2A01G376700","0","grey"
"TraesCS2A01G377000","1","turquoise"
"TraesCS2A01G377100","29","saddlebrown"
"TraesCS2A01G377200","1","turquoise"
"TraesCS2A01G377300","0","grey"
"TraesCS2A01G377400","0","grey"
"TraesCS2A01G377500","2","blue"
"TraesCS2A01G377600","0","grey"
"TraesCS2A01G377700","10","purple"
"TraesCS2A01G377800","0","grey"
"TraesCS2A01G377900","0","grey"
"TraesCS2A01G378000","0","grey"
"TraesCS2A01G378100","3","brown"
"TraesCS2A01G378200","1","turquoise"
"TraesCS2A01G378300","1","turquoise"
"TraesCS2A01G378400","23","darkturquoise"
"TraesCS2A01G378500","19","lightyellow"
"TraesCS2A01G378600","0","grey"
"TraesCS2A01G378700","5","green"
"TraesCS2A01G378800","0","grey"
"TraesCS2A01G378900","1","turquoise"
"TraesCS2A01G379000","0","grey"
"TraesCS2A01G379100","0","grey"
"TraesCS2A01G379200","3","brown"
"TraesCS2A01G379300","0","grey"
"TraesCS2A01G379400","1","turquoise"
"TraesCS2A01G379500","1","turquoise"
"TraesCS2A01G379600","0","grey"
"TraesCS2A01G379700","3","brown"
"TraesCS2A01G379800","1","turquoise"
"TraesCS2A01G379900","1","turquoise"
"TraesCS2A01G380000","14","cyan"
"TraesCS2A01G380100","1","turquoise"
"TraesCS2A01G380200","0","grey"
"TraesCS2A01G380300","9","magenta"
"TraesCS2A01G380400","0","grey"
"TraesCS2A01G380500","9","magenta"
"TraesCS2A01G380600","0","grey"
"TraesCS2A01G380700","6","red"
"TraesCS2A01G380800","3","brown"
"TraesCS2A01G380900","3","brown"
"TraesCS2A01G381000","3","brown"
"TraesCS2A01G381100","3","brown"
"TraesCS2A01G381200","2","blue"
"TraesCS2A01G381300","0","grey"
"TraesCS2A01G381600","1","turquoise"
"TraesCS2A01G381700","3","brown"
"TraesCS2A01G381800","1","turquoise"
"TraesCS2A01G381900","12","tan"
"TraesCS2A01G382000","4","yellow"
"TraesCS2A01G382100","3","brown"
"TraesCS2A01G382200","2","blue"
"TraesCS2A01G382400","29","saddlebrown"
"TraesCS2A01G382500","6","red"
"TraesCS2A01G382600","0","grey"
"TraesCS2A01G382700","0","grey"
"TraesCS2A01G382800","0","grey"
"TraesCS2A01G382900","0","grey"
"TraesCS2A01G383000","0","grey"
"TraesCS2A01G383100","4","yellow"
"TraesCS2A01G383200","23","darkturquoise"
"TraesCS2A01G383300","3","brown"
"TraesCS2A01G383500","5","green"
"TraesCS2A01G383600","6","red"
"TraesCS2A01G383700","0","grey"
"TraesCS2A01G383900","6","red"
"TraesCS2A01G384000","0","grey"
"TraesCS2A01G384100","3","brown"
"TraesCS2A01G384200","1","turquoise"
"TraesCS2A01G384300","11","greenyellow"
"TraesCS2A01G384400","3","brown"
"TraesCS2A01G384500","0","grey"
"TraesCS2A01G384600","9","magenta"
"TraesCS2A01G384700","1","turquoise"
"TraesCS2A01G384800","0","grey"
"TraesCS2A01G384900","2","blue"
"TraesCS2A01G385000","9","magenta"
"TraesCS2A01G385100","0","grey"
"TraesCS2A01G385200","11","greenyellow"
"TraesCS2A01G385300","2","blue"
"TraesCS2A01G385400","0","grey"
"TraesCS2A01G385500","4","yellow"
"TraesCS2A01G385600","0","grey"
"TraesCS2A01G385700","0","grey"
"TraesCS2A01G385900","0","grey"
"TraesCS2A01G386000","3","brown"
"TraesCS2A01G386100","3","brown"
"TraesCS2A01G386200","11","greenyellow"
"TraesCS2A01G386300","18","lightgreen"
"TraesCS2A01G386400","1","turquoise"
"TraesCS2A01G386500","1","turquoise"
"TraesCS2A01G386600","15","midnightblue"
"TraesCS2A01G386700","0","grey"
"TraesCS2A01G386800","31","paleturquoise"
"TraesCS2A01G386900","0","grey"
"TraesCS2A01G387000","5","green"
"TraesCS2A01G387100","17","grey60"
"TraesCS2A01G387200","14","cyan"
